08-23 22:03:32.487 13624 13624 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 432ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 412ms (seq=2 running=279ms runnable=36ms io=62ms late=2ms h=android.app.ActivityThread$H w=110), msg 2 took 270ms (seq=3 running=215ms runnable=12ms io=15ms late=162ms h=android.app.ActivityThread$H w=159)
08-23 22:24:28.530  1610  4286 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[76,1065][244,1233] (has extras)} from uid 10060
08-23 22:24:28.694  1610  4590 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:24:29.051  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:283847000
08-23 22:25:43.889  1610  4287 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:25:44.046  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:283921995
08-23 22:27:03.695  1610  2549 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:27:03.903  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:284001852
08-23 22:30:06.661  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:30:06.663  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:30:19.907  1610  2410 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[77,1066][245,1234] (has extras)} from uid 10060
08-23 22:30:20.030  1610  4196 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:30:20.402  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:284198351
08-23 22:30:26.059  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:30:26.436  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:284204385
08-23 22:34:19.034  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:34:19.035  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:34:24.074  1610  4207 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:34:24.192  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3196fb1 u0 com.android.todolist/.MainActivity t19222} time:284442141
08-23 22:34:25.752  1610  1663 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:37:26.696  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:37:26.697  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:38:25.941  1610  2534 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[77,1066][245,1234] (has extras)} from uid 10060
08-23 22:38:25.985  1610  2534 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:38:26.243  1610  2534 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:38:26.340  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{36fcf47 u0 com.android.todolist/.MainActivity t19233} time:284684289
08-23 22:38:51.246  1610  4207 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:38:52.827  1610  4207 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:38:52.892  1610  4266 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.MainActivity|202|284709054518105|196|5|2
08-23 22:38:52.893  1610  4266 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.MainActivity|448|284709334045761|222|0|2
08-23 22:38:52.893  4187 30394 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|202|196|unknown|null|com.android.todolist/com.android.todolist.MainActivity|284709054518105|Slow issue draw commands|2
08-23 22:38:52.914  4187 30394 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|448|222|unknown|null|com.android.todolist/com.android.todolist.MainActivity|284709334045761|Slow main thread|2
08-23 22:38:53.536  1610  4266 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10010
08-23 22:38:53.553  1610  2534 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:38:53.701  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:38:54.259  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{6a1992e u0 com.android.todolist/.ListActivity t19233} time:284712209
08-23 22:38:54.850  1610  4266 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@78e324
08-23 22:38:56.870  1610  4207 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@1e4d443
08-23 22:38:59.588  1610  4207 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:39:02.525  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:39:02.611  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:39:05.032  1610  2410 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.ListActivity|276|284722499613933|72|5|11
08-23 22:39:05.038  4187 30394 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|276|72|unknown|null|com.android.todolist/com.android.todolist.ListActivity|284722499613933|Slow issue draw commands|11
